Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
beta_367, 2.34772485728, 0.0765991768047, 0.00681160104744, 2.26093580912, 2.43377060308, 2.26093580912, 2.29436680968, 2.34478830094, 2.41529523055, 2.43377060308
beta_368, 1.11618107389, 0.224967053871, 0.022400897247, 0.976804792513, 1.5776612539, 0.976545014071, 0.994436578278, 1.0077080399, 1.0477747436, 1.5776612539
beta_369, 0.328066338937, 0.125868327443, 0.0107723973252, 0.235609216898, 0.416433890763, 0.235609216898, 0.257663554586, 0.343263560758, 0.358365968743, 0.416433890763
beta_370, -2.73110579241, 0.407747909101, 0.0408085196431, -2.99459158632, -1.89381984682, -2.99862527438, -2.97047210858, -2.91158411999, -2.87072067252, -1.89381984682
beta_371, -0.0262714468554, 0.102355888088, 0.00955586975261, -0.221902138657, 0.0280502730022, -0.221902138657, 0.00374006799782, 0.0081356400733, 0.0181626204571, 0.0307909175729
beta_372, -0.211817095416, 0.16831856539, 0.0134431105331, -0.249389954297, -0.172630648123, -0.249595557844, -0.243243717576, -0.232597357258, -0.197565537609, -0.172722114326
beta_373, -1.05985482403, 0.140327390715, 0.014002161419, -1.15409936719, -0.796210767553, -1.15409936719, -1.14085820552, -1.12384721145, -1.11254350752, -0.796210767553
beta_374, 4.12812600993, 0.505272666414, 0.048604589945, 3.87841753384, 5.17573127776, 3.86574718903, 3.90303082611, 3.93383304744, 3.94886497147, 5.17573127776
beta_375, -3.73670681897, 0.326868678915, 0.0308743818688, -3.88559840195, -3.23661095325, -3.88559840195, -3.87866055432, -3.85709804333, -3.83148223521, -3.23661095325
beta_376, -0.374421305225, 0.0162811680034, 0.00141097288368, -0.383631145055, -0.360935768774, -0.383631145055, -0.382058348566, -0.377881072591, -0.371952329508, -0.360935768774
beta_377, 2.15580091592, 0.110869586121, 0.00874952383108, 2.13618015448, 2.19744558849, 2.10996834711, 2.15447515387, 2.16773583965, 2.17828661673, 2.19744558849
beta_378, -0.499598332808, 0.0304851941598, 0.00244046890383, -0.523174140811, -0.492514153371, -0.523174140811, -0.501986888794, -0.499527958584, -0.494418638661, -0.491981024063
beta_379, -0.146806251788, 0.0217241765335, 0.00209705181958, -0.15694375734, -0.103722527216, -0.169743358589, -0.15530124755, -0.153848374444, -0.152247487115, -0.103722527216
beta_380, 2.01965227285, 0.508247737974, 0.0504096908867, 1.72423856739, 3.06469822004, 1.72270762913, 1.76031533522, 1.77442495551, 1.81395033342, 3.06469822004
beta_381, 1.7140566733, 0.493076075167, 0.0489292555291, 1.47322815748, 2.77513986691, 1.41940665357, 1.48511524152, 1.4922322677, 1.51057924215, 2.77513986691
